segment_filename,label
a0001_segment_00_spectrogram,1
a0001_segment_01_spectrogram,1
a0001_segment_02_spectrogram,1
a0001_segment_03_spectrogram,1
a0001_segment_04_spectrogram,1
a0001_segment_05_spectrogram,1
a0001_segment_06_spectrogram,1
a0001_segment_07_spectrogram,1
a0001_segment_08_spectrogram,1
a0001_segment_09_spectrogram,1
a0002_segment_00_spectrogram,1
a0002_segment_01_spectrogram,1
a0002_segment_02_spectrogram,1
a0002_segment_03_spectrogram,1
a0002_segment_04_spectrogram,1
a0002_segment_05_spectrogram,1
a0002_segment_06_spectrogram,1
a0003_segment_00_spectrogram,1
a0003_segment_01_spectrogram,1
a0003_segment_02_spectrogram,1
a0003_segment_03_spectrogram,1
a0003_segment_04_spectrogram,1
a0003_segment_05_spectrogram,1
a0003_segment_06_spectrogram,1
a0003_segment_07_spectrogram,1
a0003_segment_08_spectrogram,1
a0003_segment_09_spectrogram,1
a0004_segment_00_spectrogram,1
a0004_segment_01_spectrogram,1
a0004_segment_02_spectrogram,1
a0004_segment_03_spectrogram,1
a0004_segment_04_spectrogram,1
a0004_segment_05_spectrogram,1
a0004_segment_06_spectrogram,1
a0004_segment_07_spectrogram,1
a0004_segment_08_spectrogram,1
a0004_segment_09_spectrogram,1
a0005_segment_00_spectrogram,1
a0005_segment_01_spectrogram,1
a0005_segment_02_spectrogram,1
a0005_segment_03_spectrogram,1
a0005_segment_04_spectrogram,1
a0005_segment_05_spectrogram,1
a0005_segment_06_spectrogram,1
a0005_segment_07_spectrogram,1
a0005_segment_08_spectrogram,1
a0005_segment_09_spectrogram,1
a0006_segment_00_spectrogram,1
a0006_segment_01_spectrogram,1
a0006_segment_02_spectrogram,1
a0006_segment_03_spectrogram,1
a0006_segment_04_spectrogram,1
a0006_segment_05_spectrogram,1
a0006_segment_06_spectrogram,1
a0007_segment_00_spectrogram,0
a0007_segment_01_spectrogram,0
a0007_segment_02_spectrogram,0
a0007_segment_03_spectrogram,0
a0007_segment_04_spectrogram,0
a0007_segment_05_spectrogram,0
a0007_segment_06_spectrogram,0
a0007_segment_07_spectrogram,0
a0007_segment_08_spectrogram,0
a0007_segment_09_spectrogram,0
a0008_segment_00_spectrogram,1
a0008_segment_01_spectrogram,1
a0008_segment_02_spectrogram,1
a0008_segment_03_spectrogram,1
a0008_segment_04_spectrogram,1
a0008_segment_05_spectrogram,1
a0008_segment_06_spectrogram,1
a0008_segment_07_spectrogram,1
a0008_segment_08_spectrogram,1
a0008_segment_09_spectrogram,1
a0009_segment_00_spectrogram,0
a0009_segment_01_spectrogram,0
a0009_segment_02_spectrogram,0
a0009_segment_03_spectrogram,0
a0009_segment_04_spectrogram,0
a0009_segment_05_spectrogram,0
a0009_segment_06_spectrogram,0
a0009_segment_07_spectrogram,0
